"","year_2"
"692","0"
"693","2012"
"694","0"
"695","2018"
"696","1870"
"697","2019"
"698","0"
"699","1864"
"700","2005"
"701","2018"
"702","2016"
"703","2014"
"704","2019"
"705","2019"
"706","2017"
"707","0"
"708","1868"
"709","1880"
"710","0"
"711","2016"
"712","1963"
"713","1961"
"714","2009"
"715","2009"
"716","2009"
"717","1965"
"718","2017"
"719","1929"
"720","2019"
"721","2014"
"722","2005"
"723","2018"
"724","2013"
"725","2013"
"726","2018"
"727","2016"
"728","2019"
"729","2018"
"730","2015"
"731","0"
"732","2016"
"733","1970"
"734","2017"
"735","2018"
"736","1882"
"737","0"
"738","1995"
"739","2017"
"740","2007"
"741","2006"
"742","2005"
"743","2019"
"744","2013"
"745","2014"
"746","2010"
"747","0"
"748","2016"
"749","2018"
"750","0"
"751","2019"
"752","2011"
"753","2017"
"754","0"
"755","2005"
"756","2018"
"757","2017"
"758","2015"
"759","1991"
"760","2019"
"761","0"
"762","2013"
"763","2018"
"764","1995"
"765","1977"
"766","1846"
"767","2019"
"768","2017"
"769","2009"
"770","2008"
"771","2009"
"772","2014"
"773","2019"
"774","0"
"775","2015"
"776","2008"
"777","2015"
"778","2017"
"779","2018"
"780","0"
"781","1976"
"782","2018"
"783","0"
"784","0"
"785","2011"
"786","0"
"787","2018"
"788","2016"
"789","2016"
"790","2015"
"791","1997"
"792","0"
"793","0"
"794","0"
"795","2000"
"796","2019"
"797","2017"
"798","0"
"799","2003"
"800","2019"
"801","1858"
"802","2017"
"803","2016"
"804","0"
"805","2011"
"806","0"
"807","2012"
"808","2012"
"809","1864"
"810","0"
"811","2017"
"812","2010"
"813","1984"
"814","2019"
"815","1950"
"816","0"
"817","2012"
"818","1965"
"819","2003"
"820","0"
"821","2014"
"822","2007"
"823","2019"
"824","1969"
"825","2007"
"826","2013"
"827","0"
"828","0"
"829","2011"
"830","2014"
"831","2017"
"832","2010"
"833","0"
"834","1961"
"835","2017"
"836","2014"
"837","2007"
"838","1954"
"839","2016"
"840","2004"
"841","2014"
"842","0"
"843","2019"
"844","2016"
"845","2014"
"846","0"
"847","0"
"848","2013"
"849","2015"
"850","2015"
"851","2015"
"852","2016"
"853","0"
"854","2018"
"855","2011"
"856","2010"
"857","0"
"858","1840"
"859","0"
"860","1955"
"861","0"
"862","0"
"863","2010"
"864","0"
"865","2018"
"866","2015"
"867","1990"
"868","2018"
"869","2015"
"870","0"
"871","1999"
"872","1996"
"873","2019"
"874","0"
"875","2018"
"876","2010"
"877","2006"
"878","0"
"879","0"
"880","2018"
"881","2013"
"882","0"
"883","2012"
"884","2013"
"885","1998"
"886","0"
"887","2018"
"888","2016"
"889","1999"
"890","2011"
"891","0"
"892","0"
"893","2015"
"894","2016"
"895","2019"
"896","2019"
"897","2015"
"898","1968"
"899","0"
"900","1930"
"901","0"
"902","2008"
"903","0"
"904","2018"
"905","2015"
"906","0"
"907","2016"
"908","2014"
"909","2015"
"910","2012"
"911","0"
"912","2018"
"913","2005"
"914","2010"
"915","2019"
"916","2010"
"917","1912"
"918","2011"
"919","2013"
"920","2016"
"921","2002"
"922","0"
"923","0"
"924","2016"
"925","2014"
"926","0"
"927","2013"
"928","1667"
"929","1844"
"930","0"
"931","2016"
"932","1997"
"933","2017"
"934","2019"
"935","1984"
"936","1967"
"937","2008"
"938","0"
"939","2015"
"940","2014"
"941","1984"
"942","0"
"943","0"
"944","2000"
"945","2007"
"946","0"
"947","0"
"948","2013"
"949","2012"
"950","1994"
"951","1995"
"952","2019"
"953","2006"
"954","2018"
"955","2018"
"956","2012"
"957","2019"
"958","2015"
"959","2012"
"960","2018"
"961","2016"
"962","2009"
"963","2019"
"964","0"
"965","2012"
"966","2014"
"967","2004"
"968","2018"
"969","0"
"970","2005"
"971","2018"
"972","2008"
"973","2004"
"974","2013"
"975","0"
"976","2015"
"977","0"
"978","1915"
"979","0"
"980","0"
"981","1933"
"982","2017"
"983","2014"
"984","2018"
"985","0"
"986","2019"
"987","2017"
"988","0"
"989","2015"
"990","1915"
"991","0"
"992","2008"
"993","0"
"994","2018"
"995","2018"
"996","0"
"997","1862"
"998","2018"
"999","2019"
"1000","2015"
"1001","0"
"1002","2013"
"1003","2012"
"1004","2010"
"1005","1926"
"1006","2019"
"1007","2019"
"1008","0"
"1009","2018"
"1010","2015"
"1011","2006"
"1012","2013"
"1013","2019"
"1014","2016"
"1015","2019"
"1016","2013"
"1017","2009"
"1018","2006"
"1019","0"
"1020","1981"
"1021","2015"
"1022","2009"
"1023","2015"
"1024","0"
"1025","1987"
"1026","2016"
"1027","2019"
"1028","2015"
"1029","2012"
"1030","2009"
"1031","2018"
"1032","0"
"1033","2012"
"1034","2007"
"1035","2015"
"1036","2005"
"1037","0"
"1038","2017"
"1039","2019"
"1040","0"
"1041","2012"
"1042","1947"
"1043","2007"
"1044","2006"
"1045","2011"
"1046","2008"
"1047","2013"
"1048","2018"
"1049","2017"
"1050","2012"
"1051","2014"
"1052","2012"
"1053","2019"
"1054","2011"
"1055","2019"
"1056","2010"
"1057","2011"
"1058","2005"
"1059","2010"
"1060","2015"
"1061","2017"
"1062","2012"
"1063","0"
"1064","1935"
"1065","2016"
"1066","2013"
"1067","2019"
"1068","2016"
"1069","2013"
"1070","0"
"1071","2019"
"1072","2007"
"1073","1896"
"1074","1877"
"1075","2016"
"1076","1949"
"1077","2008"
"1078","0"
"1079","2013"
"1080","1999"
"1081","2019"
"1082","2013"
"1083","2017"
"1084","2017"
"1085","2019"
"1086","2018"
"1087","1896"
"1088","2008"
"1089","1865"
"1090","2016"
"1091","2001"
"1092","2006"
"1093","2012"
"1094","2017"
"1095","0"
"1096","0"
"1097","2001"
"1098","2019"
"1099","2012"
"1100","2009"
"1101","0"
"1102","0"
"1103","2017"
"1104","2003"
"1105","2016"
"1106","1911"
"1107","1976"
"1108","2013"
"1109","0"
"1110","1943"
"1111","2012"
"1112","1908"
"1113","0"
"1114","2014"
"1115","0"
"1116","2013"
"1117","2013"
"1118","2017"
"1119","0"
"1120","2019"
"1121","2017"
"1122","0"
"1123","2015"
"1124","0"
"1125","2017"
"1126","2017"
"1127","2014"
"1128","0"
"1129","0"
"1130","2012"
"1131","0"
"1132","2005"
"1133","1942"
"1134","2011"
"1135","2019"
"1136","2016"
"1137","1851"
"1138","2015"
"1139","2011"
"1140","0"
"1141","2013"
"1142","2019"
"1143","0"
"1144","2014"
"1145","2009"
"1146","2004"
"1147","2005"
"1148","2018"
"1149","2018"
"1150","2017"
"1151","2017"
"1152","2017"
"1153","0"
"1154","2018"
"1155","2017"
"1156","0"
"1157","2014"
"1158","2007"
"1159","1944"
"1160","2019"
"1161","2004"
"1162","0"
"1163","2013"
"1164","0"
"1165","2019"
"1166","2019"
"1167","2018"
"1168","2010"
"1169","2019"
"1170","2017"
"1171","1841"
"1172","2017"
"1173","2012"
"1174","2015"
"1175","0"
"1176","2019"
"1177","1899"
"1178","2012"
"1179","2003"
"1180","2018"
"1181","2013"
"1182","0"
"1183","2009"
"1184","2019"
"1185","2019"
"1186","1998"
"1187","2015"
"1188","0"
"1189","2019"
"1190","2013"
"1191","2017"
"1192","2008"
"1193","2012"
"1194","0"
"1195","0"
"1196","2015"
"1197","1987"
"1198","2002"
"1199","2009"
"1200","0"
"1201","2008"
"1202","1878"
"1203","0"
"1204","2017"
"1205","1979"
"1206","2016"
"1207","0"
"1208","0"
"1209","1832"
"1210","2013"
"1211","1968"
"1212","2017"
"1213","2008"
"1214","2013"
"1215","0"
"1216","0"
"1217","2017"
"1218","0"
"1219","2015"
"1220","2015"
"1221","1873"
"1222","0"
"1223","2018"
"1224","2015"
"1225","2006"
"1226","2015"
"1227","2018"
"1228","2010"
"1229","2016"
"1230","1830"
"1231","2017"
"1232","2015"
"1233","2015"
"1234","2006"
"1235","2014"
"1236","2014"
"1237","2016"
"1238","1998"
"1239","2017"
"1240","0"
"1241","2015"
"1242","1999"
"1243","2019"
"1244","2017"
"1245","2015"
"1246","0"
"1247","2011"
"1248","0"
"1249","2019"
"1250","0"
"1251","2017"
"1252","2016"
"1253","2018"
"1254","0"
"1255","0"
"1256","1866"
"1257","2016"
"1258","2016"
"1259","2016"
"1260","2018"
"1261","2007"
"1262","2007"
"1263","2019"
"1264","2017"
"1265","1993"
"1266","2014"
"1267","2018"
"1268","2018"
"1269","2012"
"1270","2015"
"1271","2010"
"1272","2018"
"1273","0"
"1274","0"
"1275","0"
"1276","2018"
"1277","2017"
"1278","0"
"1279","0"
"1280","0"
"1281","0"
"1282","2013"
"1283","0"
"1284","2014"
"1285","2019"
"1286","1923"
"1287","2017"
"1288","0"
"1289","1877"
"1290","2014"
"1291","2001"
"1292","2011"
"1293","0"
"1294","2011"
"1295","2016"
"1296","2010"
"1297","2002"
"1298","1996"
"1299","2016"
"1300","2015"
"1301","2013"
"1302","0"
"1303","2010"
"1304","2014"
"1305","2017"
"1306","2019"
"1307","2019"
"1308","0"
"1309","2018"
"1310","0"
"1311","0"
"1312","0"
"1313","0"
"1314","2017"
"1315","2016"
"1316","0"
"1317","0"
"1318","1933"
"1319","2018"
"1320","2012"
"1321","2019"
"1322","2014"
"1323","0"
"1324","2000"
"1325","2009"
"1326","1966"
"1327","0"
"1328","2017"
"1329","2009"
"1330","2014"
"1331","2016"
"1332","0"
"1333","0"
"1334","2016"
"1335","0"
"1336","0"
"1337","2017"
"1338","2005"
"1339","2019"
"1340","0"
"1341","2016"
"1342","0"
"1343","0"
"1344","0"
"1345","0"
"1346","2017"
"1347","2019"
"1348","1971"
"1349","2018"
"1350","2018"
"1351","2016"
"1352","2019"
"1353","2017"
"1354","2016"
"1355","2019"
"1356","0"
"1357","1989"
"1358","2006"
"1359","0"
"1360","2018"
"1361","2012"
"1362","1905"
"1363","1925"
"1364","2017"
"1365","2007"
"1366","2012"
"1367","2008"
"1368","0"
"1369","2019"
"1370","2016"
"1371","0"
"1372","2019"
"1373","2009"
"1374","2013"
"1375","2019"
"1376","2012"
"1377","1996"
"1378","2013"
"1379","2017"
"1380","2019"
"1381","2019"
"1382","2006"
"1383","2006"
"1384","2017"
"1385","2014"
"1386","0"
"1387","2003"
"1388","2016"
"1389","2019"
"1390","2018"
"1391","2019"
"1392","2010"
"1393","2015"
"1394","1998"
"1395","2016"
"1396","2008"
"1397","2005"
"1398","2019"
"1399","0"
"1400","2008"
"1401","0"
"1402","2018"
"1403","2014"
"1404","2018"
"1405","0"
"1406","1927"
"1407","2019"
"1408","0"
"1409","1965"
"1410","2018"
"1411","2012"
"1412","2019"
"1413","2011"
"1414","2018"
"1415","2015"
"1416","0"
"1417","2008"
"1418","0"
"1419","0"
"1420","2007"
"1421","1963"
"1422","2007"
"1423","1931"
"1424","1999"
"1425","1968"
"1426","2016"
"1427","2013"
"1428","2019"
"1429","2019"
"1430","2013"
"1431","2014"
"1432","2018"
"1433","2019"
"1434","2015"
"1435","1925"
"1436","0"
"1437","2017"
"1438","2011"
"1439","2018"
"1440","1931"
"1441","2013"
"1442","0"
"1443","2014"
"1444","0"
"1445","2013"
"1446","2011"
"1447","2015"
"1448","1000"
"1449","2019"
"1450","1926"
"1451","2018"
"1452","0"
"1453","2018"
"1454","2015"
"1455","1837"
"1456","2011"
"1457","2012"
"1458","2014"
"1459","2014"
"1460","2011"
"1461","0"
"1462","2015"
"1463","1976"
"1464","1793"
"1465","1914"
"1466","0"
"1467","2007"
"1468","0"
"1469","2016"
"1470","2018"
"1471","2012"
"1472","0"
"1473","1839"
"1474","1994"
"1475","2019"
"1476","2014"
"1477","2019"
"1478","2015"
"1479","0"
"1480","0"
"1481","2005"
"1482","2016"
"1483","0"
"1484","2002"
"1485","2017"
"1486","1984"
"1487","1908"
"1488","2006"
"1489","0"
"1490","2017"
"1491","0"
"1492","2019"
"1493","2008"
"1494","2018"
"1495","2014"
"1496","1981"
"1497","2005"
"1498","2010"
"1499","2006"
"1500","2017"
"1501","0"
"1502","0"
"1503","2013"
"1504","2016"
"1505","2004"
"1506","1997"
"1507","2001"
"1508","2015"
"1509","0"
"1510","2002"
"1511","0"
"1512","2017"
"1513","0"
"1514","2004"
"1515","2019"
"1516","2005"
"1517","2014"
"1518","0"
"1519","2014"
"1520","2011"
"1521","1925"
"1522","0"
"1523","2016"
"1524","2010"
"1525","2006"
"1526","0"
"1527","2004"
"1528","2019"
"1529","2018"
"1530","2017"
"1531","2018"
"1532","2014"
"1533","1991"
"1534","2017"
"1535","2014"
"1536","2016"
"1537","2009"
"1538","2005"
"1539","1890"
"1540","2013"
"1541","2011"
"1542","2019"
"1543","2012"
"1544","2019"
"1545","1967"
"1546","2008"
"1547","2013"
"1548","2017"
"1549","0"
"1550","2006"
"1551","1929"
"1552","2001"
"1553","2009"
"1554","1935"
"1555","0"
"1556","0"
"1557","2014"
"1558","1954"
"1559","2000"
"1560","2004"
"1561","0"
"1562","2019"
"1563","2016"
"1564","2017"
"1565","0"
"1566","2016"
"1567","0"
"1568","2013"
"1569","2017"
"1570","2013"
"1571","2015"
"1572","2017"
"1573","2013"
"1574","2013"
"1575","2015"
"1576","0"
"1577","2005"
"1578","2018"
"1579","1931"
"1580","0"
"1581","0"
"1582","2019"
"1583","2014"
"1584","0"
"1585","2009"
"1586","2018"
"1587","2018"
"1588","2013"
"1589","2019"
"1590","0"
"1591","0"
"1592","2012"
"1593","2019"
"1594","1890"
"1595","2014"
"1596","2018"
"1597","2013"
"1598","2006"
