"genres","agreg_genres"
"Реаниматология","Медицина"
"Стоматология","Медицина"
"Токсикология","Медицина"
"Урология и нефрология","Медицина"
"Фармакология","Медицина"
"Фармация","Медицина"
"Хирургия","Медицина"
"Эндокринология","Медицина"
"Эпидемиология","Медицина"
"Материалы конференций","Научная литература"
"Монографии","Научная литература"
"Библиография","Научная литература"
"Научно-практические журналы","Научная литература"
"Научные доклады","Научная литература"
"Научные справочники","Научная литература"
"Буквари","Образовательная литература"
"Детская познавательная и развивающая литература","Образовательная литература"
"Научно-популярная литература","Образовательная литература"
"Научно-популярные журналы","Образовательная литература"
"Зарубежная образовательная литература","Образовательная литература"
"Прочая образовательная литература","Образовательная литература"
"Учебная литература","Образовательная литература"
"Учебники и пособия для вузов","Образовательная литература"
"Учебники и пособия для ссузов","Образовательная литература"
"Учебники по психологии","Образовательная литература"
"Учебно-методические пособия (методички)","Образовательная литература"
"Учебные программы","Образовательная литература"
"Учебные справочники","Образовательная литература"
"Энциклопедии","Образовательная литература"
"Энциклопедические словари","Образовательная литература"
"Зарубежная поэзия","Поэзия"
"Русская поэзия","Поэзия"
"Стихи и поэзия","Поэзия"
"Зарубежная прикладная литература","Прикладная литература"
"Прикладная литература","Прикладная литература"
"Зарубежные приключения","Приключения"
"Исторические приключения","Приключения"
"Классика приключенческой литературы","Приключения"
"Книги о приключениях","Приключения"
"Морские приключения","Приключения"
"Легкая промышленность","Промышленность"
"Машиностроение","Промышленность"
"Металлургия","Промышленность"
"Отраслевые издания","Промышленность"
"Возрастная психология","Психология"
"Воспитание детей","Психология"
"Гендерные различия","Психология"
"Детская психология","Психология"
"Зарубежная психология","Психология"
"Истории успеха","Психология"
"Истории успеха и биографии","Психология"
"История психологии","Психология"
"Классики психологии","Психология"
"Клиническая психология","Психология"
"Конфликты","Психология"
"Личная эффективность","Психология"
"Личная эффективность / продуктивность","Психология"
"Личные финансы","Психология"
"Любовь и отношения","Психология"
"Мотивация","Психология"
"Научная литература по психологии","Психология"
"Нейропсихология","Психология"
"НЛП","Психология"
"О психологии популярно","Психология"
"Общая психология","Психология"
"Основы психологии","Психология"
"Отраслевая психология","Психология"
"Парапсихология","Психология"
"Переговоры","Психология"
"Переговоры и продажи","Психология"
"Поиск работы / карьера","Психология"
"Практическая психология","Психология"
"Психоанализ","Психология"
"Психологическая консультация","Психология"
"Психологические тесты","Психология"
"Психологические тренинги","Психология"
"Психология","Психология"
"Психология управления","Психология"
